"","x","y"
"",113500,6902500
"",114500,6902500
"",115500,6902500
"",116500,6902500
"",117500,6902500
"",118500,6902500
"",119500,6902500
"",120500,6902500
"",121500,6902500
"",122500,6902500
"",123500,6902500
"",124500,6902500
"",125500,6902500
"",126500,6902500
"",127500,6902500
"",128500,6902500
"",129500,6902500
"",130500,6902500
"",131500,6902500
"",132500,6902500
"",133500,6902500
"",134500,6902500
"",135500,6902500
"",136500,6902500
"",137500,6902500
"",95500,6901500
"",96500,6901500
"",97500,6901500
"",98500,6901500
"",99500,6901500
"",101500,6901500
"",102500,6901500
"",103500,6901500
"",104500,6901500
"",105500,6901500
"",106500,6901500
"",107500,6901500
"",108500,6901500
"",109500,6901500
"",110500,6901500
"",111500,6901500
"",112500,6901500
"",113500,6901500
"",114500,6901500
"",115500,6901500
"",116500,6901500
"",117500,6901500
"",118500,6901500
"",119500,6901500
"",120500,6901500
"",121500,6901500
"",122500,6901500
"",123500,6901500
"",124500,6901500
"",125500,6901500
"",126500,6901500
"",127500,6901500
"",128500,6901500
"",129500,6901500
"",130500,6901500
"",131500,6901500
"",132500,6901500
"",133500,6901500
"",134500,6901500
"",135500,6901500
"",136500,6901500
"",137500,6901500
"",138500,6901500
"",95500,6900500
"",97500,6900500
"",98500,6900500
"",99500,6900500
"",100500,6900500
"",101500,6900500
"",102500,6900500
"",103500,6900500
"",104500,6900500
"",105500,6900500
"",106500,6900500
"",107500,6900500
"",108500,6900500
"",109500,6900500
"",110500,6900500
"",111500,6900500
"",112500,6900500
"",113500,6900500
"",114500,6900500
"",115500,6900500
"",116500,6900500
"",117500,6900500
"",118500,6900500
"",119500,6900500
"",120500,6900500
"",121500,6900500
"",122500,6900500
"",123500,6900500
"",124500,6900500
"",125500,6900500
"",126500,6900500
"",127500,6900500
"",128500,6900500
"",129500,6900500
"",130500,6900500
"",131500,6900500
"",132500,6900500
"",133500,6900500
"",134500,6900500
"",135500,6900500
"",136500,6900500
"",137500,6900500
"",138500,6900500
"",98500,6899500
"",99500,6899500
"",100500,6899500
"",101500,6899500
"",102500,6899500
"",103500,6899500
"",104500,6899500
"",105500,6899500
"",106500,6899500
"",107500,6899500
"",108500,6899500
"",109500,6899500
"",110500,6899500
"",111500,6899500
"",112500,6899500
"",113500,6899500
"",114500,6899500
"",115500,6899500
"",116500,6899500
"",117500,6899500
"",118500,6899500
"",119500,6899500
"",120500,6899500
"",121500,6899500
"",122500,6899500
"",123500,6899500
"",124500,6899500
"",125500,6899500
"",126500,6899500
"",127500,6899500
"",128500,6899500
"",129500,6899500
"",130500,6899500
"",131500,6899500
"",132500,6899500
"",133500,6899500
"",134500,6899500
"",135500,6899500
"",136500,6899500
"",137500,6899500
"",138500,6899500
"",99500,6898500
"",100500,6898500
"",101500,6898500
"",102500,6898500
"",103500,6898500
"",104500,6898500
"",105500,6898500
"",106500,6898500
"",107500,6898500
"",108500,6898500
"",109500,6898500
"",110500,6898500
"",111500,6898500
"",112500,6898500
"",113500,6898500
"",114500,6898500
"",115500,6898500
"",116500,6898500
"",117500,6898500
"",118500,6898500
"",119500,6898500
"",120500,6898500
"",121500,6898500
"",122500,6898500
"",123500,6898500
"",124500,6898500
"",125500,6898500
"",126500,6898500
"",127500,6898500
"",128500,6898500
"",129500,6898500
"",130500,6898500
"",131500,6898500
"",132500,6898500
"",133500,6898500
"",134500,6898500
"",135500,6898500
"",136500,6898500
"",137500,6898500
"",138500,6898500
"",102500,6897500
"",103500,6897500
"",104500,6897500
"",105500,6897500
"",106500,6897500
"",107500,6897500
"",108500,6897500
"",109500,6897500
"",110500,6897500
"",111500,6897500
"",112500,6897500
"",113500,6897500
"",114500,6897500
"",115500,6897500
"",116500,6897500
"",117500,6897500
"",118500,6897500
"",119500,6897500
"",120500,6897500
"",121500,6897500
"",122500,6897500
"",123500,6897500
"",124500,6897500
"",125500,6897500
"",126500,6897500
"",127500,6897500
"",128500,6897500
"",129500,6897500
"",130500,6897500
"",131500,6897500
"",132500,6897500
"",133500,6897500
"",134500,6897500
"",135500,6897500
"",136500,6897500
"",137500,6897500
"",138500,6897500
"",139500,6897500
"",102500,6896500
"",103500,6896500
"",104500,6896500
"",106500,6896500
"",107500,6896500
"",108500,6896500
"",109500,6896500
"",110500,6896500
"",111500,6896500
"",112500,6896500
"",113500,6896500
"",114500,6896500
"",115500,6896500
"",116500,6896500
"",117500,6896500
"",118500,6896500
"",119500,6896500
"",120500,6896500
"",121500,6896500
"",122500,6896500
"",123500,6896500
"",124500,6896500
"",125500,6896500
"",126500,6896500
"",127500,6896500
"",128500,6896500
"",129500,6896500
"",130500,6896500
"",131500,6896500
"",132500,6896500
"",133500,6896500
"",134500,6896500
"",135500,6896500
"",136500,6896500
"",137500,6896500
"",138500,6896500
"",139500,6896500
"",106500,6895500
"",107500,6895500
"",108500,6895500
"",109500,6895500
"",110500,6895500
"",111500,6895500
"",112500,6895500
"",113500,6895500
"",114500,6895500
"",115500,6895500
"",116500,6895500
"",117500,6895500
"",118500,6895500
"",119500,6895500
"",120500,6895500
"",121500,6895500
"",122500,6895500
"",123500,6895500
"",124500,6895500
