Cell_ID,Lake_Volume_m3
1665,1848.781586
1667,1692925.646
1668,29444.14091
1669,68014.63055
1670,79150.61116
1677,4391112.545
1679,3180.076333
1680,7008.958964
1685,186600.5828
1686,855618.8526
1689,517536.7192
1690,10694.57205
1691,17652.47598
1695,296289.8436
1773,7596001.406
1775,5952.141268
1779,3306.068049
1780,10495.86976
1781,107089.7896
1783,64507.83632
1786,15030.24719
1787,9495.328572
1788,103497.3094
1789,45190.50507
1791,8611.7955
1794,1779.98003
1797,220898.5596
1803,2224.502808
1804,15641.02343
1805,3616.744262
1806,103792.5503
1807,6842.751371
1809,90268.03798
1810,6265.387045
1813,16784.8118
1893,191721.8898
1896,3521.603319
1897,11299.15831
1906,21443.18779
1907,476433.3788
1908,9092.176145
1909,15455.50192
1911,6820.548949
1913,10041.4518
1917,13755.48596
1919,2552.919949
1922,18645.69687
1924,4039.912684
1925,8244.919734
1926,19179.83539
1927,8317.808789
1929,299114.2051
1930,113413.5048
1931,1413139.536
2016,679050.4359
2017,4370.505251
2018,1023183.272
2021,2500.412682
2024,19454.04773
2026,3432.794592
2029,40577.39905
2031,34393.94497
2034,94405.24255
2035,146575.3479
2036,3429.259373
2038,55481.71912
2039,13619.49761
2043,13730.69279
2045,90623.48104
2046,5353.781195
2047,4752.527045
2131,2804659.874
2132,20059.10086
2133,2229.385252
2134,6171.774491
2145,1828.868354
2160,35257.41206
2161,94799.39163
2167,11050.23619
2250,153395.1384
2252,3692.593872
2253,13519.19423
2254,7446.33816
2255,2476.099835
2256,11385.39313
2257,9368.599683
2262,13792.02813
2263,18850.5653
2264,1959.22069
2265,24495.00541
2266,19459.32338
2267,22051.80239
2278,274865.6296
2279,8499.820597
2280,28782.36566
2282,23647.5884
2283,1897.835494
2284,559341.7925
2286,112204.1786
2287,2584.968083
2367,179205.5006
2370,359189.7253
2373,27333.78168
2374,34737.21756
2375,23178.60883
2376,1964.924205
2380,13746.9541
2381,9346.129268
2382,1903838.054
2383,4853.6346
2384,2100.100317
2388,2227906.479
2396,85768.57892
2398,3880.546884
2400,15876.20926
2401,10087.91506
2402,23951.33195
2404,24952.63975
2405,93339.43282
2490,562793.9544
2491,4142.813268
