Item,Year,Value (tons),,,,,,,,,
Cereals,2000,310265.56,,,,Row Labels,Sum of Value (tons),Norway Population,Per Capita Imports,Area_population,Area_Imports (Tons)
Sugar and Honey,2011,211409,,,,,,,,,
Sugar and Honey,2012,223173,,,,,,,,,
Sugar and Honey,2013,207844,,,,,,,,,
Sugar and Honey,2014,223621.54,,,,,,,,,
Sugar and Honey,2015,228250.91,,,,,,,,,
Sugar and Honey,2016,211169.51,,,,,,,,,
Sugar and Honey,2017,210609.91,,,,,,,,,
Sugar and Honey,2018,199527.21,,,,,,,,,
Sugar and Honey,2019,216500.72,,,,,,,,,
Sugar and Honey,2020,224007.23,,,,,,,,,
Fruit,2000,288079.14,,,,,,,,,
Fruit,2001,299777,,,,,,,,,
Fruit,2002,303580,,,,,,,,,
Fruit,2003,321997,,,,,,,,,
Fruit,2004,332975,,,,,,,,,
Fruit,2005,361641,,,,,,,,,
Fruit,2006,376001,,,,,,,,,
Fruit,2007,408464,,,,,,,,,
Fruit,2008,422403,,,,,,,,,
Fruit,2009,409358,,,,,,,,,
Fruit,2010,407096,,,,,,,,,
Fruit,2011,409700,,,,,,,,,
Fruit,2012,417671,,,,,,,,,
Fruit,2013,432735,,,,,,,,,
Fruit,2014,439195.56,,,,,,,,,
Fruit,2015,432350.79,,,,,,,,,
Fruit,2016,429187.92,,,,,,,,,
Fruit,2017,431822.05,,,,,,,,,
Fruit,2018,420331.9,,,,,,,,,
Fruit,2019,412181.79,,,,,,,,,
Fruit,2020,413872.02,,,,,,,,,
Vegetables,2000,108849.63,,,,,,,,,
Vegetables,2001,123300,,,,,,,,,
Vegetables,2002,122648,,,,,,,,,
Vegetables,2003,141145,,,,,,,,,
Vegetables,2004,139492,,,,,,,,,
Vegetables,2005,141094,,,,,,,,,
Vegetables,2006,155157,,,,,,,,,
Vegetables,2007,163570,,,,,,,,,
Vegetables,2008,171828,,,,,,,,,
Vegetables,2009,164009,,,,,,,,,
Vegetables,2010,171983,,,,,,,,,
Vegetables,2011,187583,,,,,,,,,
Vegetables,2012,189565,,,,,,,,,
Vegetables,2013,199873,,,,,,,,,
Vegetables,2014,201713.75,,,,,,,,,
Vegetables,2015,202565.01,,,,,,,,,
Vegetables,2016,212129.14,,,,,,,,,
Vegetables,2017,210396.19,,,,,,,,,
Vegetables,2018,223125.82,,,,,,,,,
Vegetables,2019,231828.32,,,,,,,,,
Vegetables,2020,222770.54,,,,,,,,,
Pulses,2000,4542.59,,,,,,,,,
Pulses,2001,4797,,,,,,,,,
Pulses,2002,4461,,,,,,,,,
